Species,Trait
Escherichia_coli_K12,1
Clostridium_perfringens,0
Bacillus_subtilis,1
Vibrio_cholerae,1
Pseudomonas_aeruginosa,1
Salmonella_enterica,1
Streptomyces_coelicolor,0
Mycobacterium_tuberculosis_H37Rv,0
Acidobacterium_capsulatum,1
Fibrobacter_succinogenes,0
